# date=2026-09-16T00:34:14,gpu=NVIDIA GeForce RTX 3090,driver=616.56,git=6a86c42+dirty,args=--n 8..12 --repeats 2 --tag smoke
impl,op,n,block_size,run,ms,ok
cpu,scan,256,0,0,0.000200,1
cpu,scan,256,0,1,0.000200,1
cpu,scan,512,0,0,0.000200,1
cpu,scan,512,0,1,0.000300,1
cpu,scan,1024,0,0,0.000500,1
cpu,scan,1024,0,1,0.000500,1
cpu,scan,2048,0,0,0.001000,1
cpu,scan,2048,0,1,0.001100,1
cpu,scan,4096,0,0,0.002000,1
cpu,scan,4096,0,1,0.002100,1
cpu,compact,256,0,0,0.000300,1
cpu,compact,256,0,1,0.000200,1
cpu,compact,512,0,0,0.000400,1
cpu,compact,512,0,1,0.000300,1
cpu,compact,1024,0,0,0.000600,1
cpu,compact,1024,0,1,0.000500,1
cpu,compact,2048,0,0,0.001400,1
cpu,compact,2048,0,1,0.001100,1
cpu,compact,4096,0,0,0.002700,1
cpu,compact,4096,0,1,0.002300,1
cpu_scan,compact,256,0,0,0.000500,1
cpu_scan,compact,256,0,1,0.000300,1
cpu_scan,compact,512,0,0,0.000500,1
cpu_scan,compact,512,0,1,0.000500,1
cpu_scan,compact,1024,0,0,0.001200,1
cpu_scan,compact,1024,0,1,0.001000,1
cpu_scan,compact,2048,0,0,0.002200,1
cpu_scan,compact,2048,0,1,0.001900,1
cpu_scan,compact,4096,0,0,0.004300,1
cpu_scan,compact,4096,0,1,0.004000,1
naive,scan,256,32,0,0.022528,1
naive,scan,256,32,1,0.067584,1
naive,scan,512,32,0,0.089120,1
naive,scan,512,32,1,0.078848,1
naive,scan,1024,32,0,0.082944,1
naive,scan,1024,32,1,0.088064,1
naive,scan,2048,32,0,0.097280,1
naive,scan,2048,32,1,0.125952,1
naive,scan,4096,32,0,0.112640,1
naive,scan,4096,32,1,0.105344,1
naive,scan,256,64,0,0.046976,1
naive,scan,256,64,1,0.046080,1
naive,scan,512,64,0,0.089088,1
naive,scan,512,64,1,0.095200,1
naive,scan,1024,64,0,0.337888,1
naive,scan,1024,64,1,0.068608,1
naive,scan,2048,64,0,0.083968,1
naive,scan,2048,64,1,0.078624,1
naive,scan,4096,64,0,0.094208,1
naive,scan,4096,64,1,0.095232,1
naive,scan,256,128,0,0.102496,1
naive,scan,256,128,1,0.105472,1
naive,scan,512,128,0,0.104448,1
naive,scan,512,128,1,0.084224,1
naive,scan,1024,128,0,0.122880,1
naive,scan,1024,128,1,0.077824,1
naive,scan,2048,128,0,0.093184,1
naive,scan,2048,128,1,0.077824,1
