# date=2026-09-16T00:59:06,gpu=NVIDIA GeForce RTX 3090,driver=616.56,git=6a86c42+dirty,args=--n 8..26
impl,op,n,block_size,run,ms,ok
cpu,scan,256,0,0,0.000200,1
cpu,scan,256,0,1,0.000200,1
cpu,scan,256,0,2,0.000100,1
cpu,scan,256,0,3,0.000200,1
cpu,scan,256,0,4,0.000100,1
cpu,scan,512,0,0,0.000200,1
cpu,scan,512,0,1,0.000300,1
cpu,scan,512,0,2,0.000200,1
cpu,scan,512,0,3,0.000300,1
cpu,scan,512,0,4,0.000300,1
cpu,scan,1024,0,0,0.000500,1
cpu,scan,1024,0,1,0.000600,1
cpu,scan,1024,0,2,0.000500,1
cpu,scan,1024,0,3,0.000500,1
cpu,scan,1024,0,4,0.000500,1
cpu,scan,2048,0,0,0.000900,1
cpu,scan,2048,0,1,0.001000,1
cpu,scan,2048,0,2,0.001000,1
cpu,scan,2048,0,3,0.001000,1
cpu,scan,2048,0,4,0.001000,1
cpu,scan,4096,0,0,0.001900,1
cpu,scan,4096,0,1,0.002000,1
cpu,scan,4096,0,2,0.002000,1
cpu,scan,4096,0,3,0.002000,1
cpu,scan,4096,0,4,0.002100,1
cpu,scan,8192,0,0,0.004000,1
cpu,scan,8192,0,1,0.004100,1
cpu,scan,8192,0,2,0.004000,1
cpu,scan,8192,0,3,0.004100,1
cpu,scan,8192,0,4,0.004100,1
cpu,scan,16384,0,0,0.008100,1
cpu,scan,16384,0,1,0.008100,1
cpu,scan,16384,0,2,0.008100,1
cpu,scan,16384,0,3,0.008100,1
cpu,scan,16384,0,4,0.008100,1
cpu,scan,32768,0,0,0.016200,1
cpu,scan,32768,0,1,0.016200,1
cpu,scan,32768,0,2,0.016200,1
cpu,scan,32768,0,3,0.016200,1
cpu,scan,32768,0,4,0.016200,1
cpu,scan,65536,0,0,0.032300,1
cpu,scan,65536,0,1,0.032300,1
cpu,scan,65536,0,2,0.032300,1
cpu,scan,65536,0,3,0.032300,1
cpu,scan,65536,0,4,0.032300,1
cpu,scan,131072,0,0,0.064500,1
cpu,scan,131072,0,1,0.064500,1
cpu,scan,131072,0,2,0.064600,1
cpu,scan,131072,0,3,0.055400,1
cpu,scan,131072,0,4,0.055300,1
cpu,scan,262144,0,0,0.110800,1
cpu,scan,262144,0,1,0.110600,1
cpu,scan,262144,0,2,0.110500,1
cpu,scan,262144,0,3,0.110600,1
cpu,scan,262144,0,4,0.116700,1
cpu,scan,524288,0,0,0.222900,1
cpu,scan,524288,0,1,0.222400,1
cpu,scan,524288,0,2,0.221900,1
cpu,scan,524288,0,3,0.221200,1
