impl,op,n,block_size,runs,median_ms,min_ms,mean_ms,std_ms
cpu,compact,256,0,5,0.000300,0.000200,0.000260,0.000055
cpu,compact,512,0,5,0.000500,0.000400,0.000460,0.000055
cpu,compact,1024,0,5,0.000500,0.000400,0.000520,0.000110
cpu,compact,2048,0,5,0.001000,0.001000,0.001100,0.000173
cpu,compact,4096,0,5,0.002200,0.002100,0.002320,0.000268
cpu,compact,8192,0,5,0.004600,0.004300,0.005540,0.001683
cpu,compact,16384,0,5,0.016700,0.016300,0.016700,0.000374
cpu,compact,32768,0,5,0.046100,0.040700,0.046540,0.004429
cpu,compact,65536,0,5,0.100200,0.091400,0.098460,0.006214
cpu,compact,131072,0,5,0.186800,0.179200,0.192540,0.012725
cpu,compact,262144,0,5,0.389900,0.380500,0.393340,0.013476
cpu,compact,524288,0,5,0.778800,0.762400,0.784220,0.021228
cpu,compact,1048576,0,5,1.564000,1.517300,1.562320,0.037513
cpu,compact,2097152,0,5,3.104900,3.060800,3.101400,0.034777
cpu,compact,4194304,0,5,6.151700,6.128100,6.182180,0.059529
cpu,compact,8388608,0,5,12.306700,12.195200,12.297760,0.068661
cpu,compact,16777216,0,5,24.560101,24.404301,24.573181,0.199099
cpu,compact,33554432,0,5,48.742901,48.319401,48.870001,0.658978
cpu,compact,67108864,0,5,93.110802,91.905502,93.110361,1.080872
cpu,scan,256,0,5,0.000200,0.000100,0.000160,0.000055
cpu,scan,512,0,5,0.000300,0.000200,0.000260,0.000055
cpu,scan,1024,0,5,0.000500,0.000500,0.000520,0.000045
cpu,scan,2048,0,5,0.001000,0.000900,0.000980,0.000045
cpu,scan,4096,0,5,0.002000,0.001900,0.002000,0.000071
cpu,scan,8192,0,5,0.004100,0.004000,0.004060,0.000055
cpu,scan,16384,0,5,0.008100,0.008100,0.008100,0.000000
cpu,scan,32768,0,5,0.016200,0.016200,0.016200,0.000000
cpu,scan,65536,0,5,0.032300,0.032300,0.032300,0.000000
cpu,scan,131072,0,5,0.064500,0.055300,0.060860,0.005030
cpu,scan,262144,0,5,0.110600,0.110500,0.111840,0.002719
cpu,scan,524288,0,5,0.221900,0.221100,0.221900,0.000771
cpu,scan,1048576,0,5,0.442700,0.435400,0.440480,0.004230
cpu,scan,2097152,0,5,0.903600,0.891300,0.906780,0.011968
cpu,scan,4194304,0,5,1.868200,1.856400,1.888620,0.036578
cpu,scan,8388608,0,5,3.844000,3.809600,3.876600,0.066746
cpu,scan,16777216,0,5,7.701900,7.684100,7.804700,0.157246
cpu,scan,33554432,0,5,15.395600,15.357700,15.409180,0.041164
cpu,scan,67108864,0,5,31.518299,30.497299,31.405100,0.714701
cpu_scan,compact,256,0,5,0.000200,0.000200,0.000260,0.000089
cpu_scan,compact,512,0,5,0.000500,0.000400,0.000460,0.000055
cpu_scan,compact,1024,0,5,0.000900,0.000800,0.000880,0.000045
cpu_scan,compact,2048,0,5,0.001800,0.001700,0.002220,0.000622
cpu_scan,compact,4096,0,5,0.003800,0.003500,0.004340,0.001440
cpu_scan,compact,8192,0,5,0.007600,0.007300,0.008040,0.000910
cpu_scan,compact,16384,0,5,0.021300,0.018000,0.021800,0.002785
cpu_scan,compact,32768,0,5,0.059800,0.057100,0.059360,0.002089
cpu_scan,compact,65536,0,5,0.131800,0.129100,0.132140,0.002437
cpu_scan,compact,131072,0,5,0.273900,0.269500,0.277140,0.009863
cpu_scan,compact,262144,0,5,0.874700,0.864500,0.883700,0.026217
cpu_scan,compact,524288,0,5,1.751000,1.664400,1.997240,0.606056
cpu_scan,compact,1048576,0,5,3.214200,3.151000,3.213780,0.055217
cpu_scan,compact,2097152,0,5,6.420300,6.352700,6.442940,0.071369
cpu_scan,compact,4194304,0,5,12.964800,12.887100,12.994640,0.115463
cpu_scan,compact,8388608,0,5,25.980000,25.615900,26.254460,0.759853
cpu_scan,compact,16777216,0,5,52.057899,47.952000,51.517960,2.244799
cpu_scan,compact,33554432,0,5,98.971497,98.184799,99.646259,2.356219
cpu_scan,compact,67108864,0,5,209.614594,202.748306,208.603839,4.293230
efficient,compact,256,32,5,0.147456,0.137216,0.145613,0.008011
efficient,compact,256,64,5,0.148480,0.136192,0.144998,0.007717
efficient,compact,256,128,5,0.142336,0.137216,0.143770,0.005729
efficient,compact,256,256,5,0.140288,0.134144,0.146227,0.011273
efficient,compact,256,512,5,0.150528,0.139264,0.148275,0.005389
efficient,compact,256,1024,5,0.137376,0.126976,0.138886,0.009198
efficient,compact,512,32,5,0.166912,0.156672,0.222854,0.132036
efficient,compact,512,64,5,0.156672,0.138496,0.292102,0.201353
efficient,compact,512,128,5,0.430080,0.180224,0.347840,0.142329
efficient,compact,512,256,5,0.156736,0.141312,0.213619,0.137457
efficient,compact,512,512,5,0.158720,0.142336,0.270541,0.168826
efficient,compact,512,1024,5,0.158720,0.135168,0.228966,0.136844
efficient,compact,1024,32,5,0.169984,0.134144,0.186573,0.059239
efficient,compact,1024,64,5,0.169984,0.146432,0.287539,0.213139
efficient,compact,1024,128,5,0.165888,0.157696,0.166707,0.006287
efficient,compact,1024,256,5,0.171008,0.141312,0.165069,0.016181
efficient,compact,1024,512,5,0.173056,0.161792,0.228762,0.128720
efficient,compact,1024,1024,5,0.168960,0.155648,0.165478,0.006581
efficient,compact,2048,32,5,0.167936,0.148480,0.167322,0.014456
efficient,compact,2048,64,5,0.167936,0.141312,0.165888,0.014697
efficient,compact,2048,128,5,0.166912,0.139264,0.162406,0.013146
efficient,compact,2048,256,5,0.169984,0.154624,0.167322,0.008974
efficient,compact,2048,512,5,0.182272,0.152576,0.182477,0.020395
efficient,compact,2048,1024,5,0.175104,0.151552,0.172032,0.017150
efficient,compact,4096,32,5,0.197632,0.152576,0.185754,0.021315
efficient,compact,4096,64,5,0.181248,0.168224,0.244806,0.136411
efficient,compact,4096,128,5,0.190464,0.145408,0.235110,0.136455
efficient,compact,4096,256,5,0.175104,0.162816,0.186592,0.027330
efficient,compact,4096,512,5,0.196608,0.182272,0.226714,0.056010
efficient,compact,4096,1024,5,0.192512,0.151552,0.190669,0.028084
efficient,compact,8192,32,5,0.212992,0.175392,0.262202,0.128794
efficient,compact,8192,64,5,0.220160,0.159744,0.248013,0.095664
efficient,compact,8192,128,5,0.207872,0.181248,0.209306,0.020321
efficient,compact,8192,256,5,0.216064,0.173056,0.210330,0.021802
efficient,compact,8192,512,5,0.222208,0.196640,0.229792,0.041643
efficient,compact,8192,1024,5,0.210944,0.177152,0.204595,0.021202
efficient,compact,16384,32,5,0.258048,0.216064,0.263373,0.056818
efficient,compact,16384,64,5,0.219136,0.183296,0.244531,0.075149
efficient,compact,16384,128,5,0.226304,0.224256,0.229376,0.006058
efficient,compact,16384,256,5,0.227328,0.173056,0.208691,0.030328
efficient,compact,16384,512,5,0.238592,0.201728,0.229786,0.017522
efficient,compact,16384,1024,5,0.237568,0.191488,0.226304,0.020873
efficient,compact,32768,32,5,0.302848,0.289280,0.303059,0.009460
efficient,compact,32768,64,5,0.279456,0.258656,0.279686,0.017144
efficient,compact,32768,128,5,0.274784,0.265312,0.307526,0.049537
efficient,compact,32768,256,5,0.277344,0.274144,0.359834,0.186265
efficient,compact,32768,512,5,0.266944,0.259456,0.283366,0.031371
efficient,compact,32768,1024,5,0.271648,0.258944,0.288960,0.034796
efficient,compact,65536,32,5,0.346688,0.288320,0.335098,0.041362
efficient,compact,65536,64,5,0.295616,0.285216,0.302957,0.019005
efficient,compact,65536,128,5,0.283520,0.279232,0.284410,0.005196
efficient,compact,65536,256,5,0.321248,0.290496,0.341907,0.065568
efficient,compact,65536,512,5,0.318304,0.290912,0.362630,0.118991
efficient,compact,65536,1024,5,0.300416,0.279904,0.308480,0.038816
efficient,compact,131072,32,5,0.392768,0.354496,0.429766,0.098701
efficient,compact,131072,64,5,0.354656,0.316704,0.401818,0.132412
efficient,compact,131072,128,5,0.305120,0.291744,0.374394,0.141326
efficient,compact,131072,256,5,0.312672,0.292000,0.324058,0.040290
efficient,compact,131072,512,5,0.334048,0.297216,0.358714,0.063160
efficient,compact,131072,1024,5,0.335392,0.291200,0.390643,0.144014
efficient,compact,262144,32,5,0.496480,0.448544,0.480064,0.026474
efficient,compact,262144,64,5,0.415104,0.394592,0.415066,0.017409
efficient,compact,262144,128,5,0.393760,0.323072,0.379021,0.039719
efficient,compact,262144,256,5,0.372864,0.323456,0.459571,0.162502
efficient,compact,262144,512,5,0.359008,0.337472,0.411072,0.117800
efficient,compact,262144,1024,5,0.359680,0.328224,0.372461,0.046921
efficient,compact,524288,32,5,0.555904,0.531328,0.617869,0.114257
efficient,compact,524288,64,5,0.492224,0.464512,0.519315,0.085771
efficient,compact,524288,128,5,0.432576,0.418912,0.476698,0.109598
efficient,compact,524288,256,5,0.397920,0.356928,0.409594,0.048466
efficient,compact,524288,512,5,0.391232,0.347360,0.424122,0.096973
efficient,compact,524288,1024,5,0.418080,0.394240,0.482829,0.147333
efficient,compact,1048576,32,5,0.973120,0.969120,1.041370,0.150419
efficient,compact,1048576,64,5,0.675904,0.586624,0.689318,0.116755
efficient,compact,1048576,128,5,0.496160,0.471392,0.577248,0.178314
efficient,compact,1048576,256,5,0.388544,0.379808,0.479539,0.186676
efficient,compact,1048576,512,5,0.504608,0.394496,0.493395,0.084781
efficient,compact,1048576,1024,5,0.469728,0.438240,0.543277,0.178421
efficient,compact,2097152,32,5,1.898368,1.896288,2.003802,0.234229
efficient,compact,2097152,64,5,1.098368,1.055648,1.138554,0.123088
efficient,compact,2097152,128,5,0.724160,0.715456,0.740333,0.038536
efficient,compact,2097152,256,5,0.657792,0.649440,0.739085,0.175551
efficient,compact,2097152,512,5,0.706976,0.659232,0.716947,0.041799
efficient,compact,2097152,1024,5,0.756352,0.716896,0.805043,0.131043
efficient,compact,4194304,32,5,3.809536,3.807744,3.873965,0.140556
efficient,compact,4194304,64,5,2.051456,2.049920,2.081734,0.042341
efficient,compact,4194304,128,5,1.365120,1.343744,1.386368,0.046178
efficient,compact,4194304,256,5,1.078304,1.061408,1.105709,0.055229
efficient,compact,4194304,512,5,1.076224,0.994272,1.137843,0.197640
efficient,compact,4194304,1024,5,1.256832,1.249088,1.349146,0.172938
efficient,compact,8388608,32,5,7.789856,7.787808,7.889376,0.188477
efficient,compact,8388608,64,5,4.110720,4.107392,4.127706,0.041016
efficient,compact,8388608,128,5,2.593600,2.587808,2.608333,0.034592
efficient,compact,8388608,256,5,1.945824,1.945664,1.976506,0.042106
efficient,compact,8388608,512,5,1.868224,1.840064,1.942227,0.180757
efficient,compact,8388608,1024,5,2.348544,2.338656,2.446304,0.207183
efficient,compact,16777216,32,5,16.038656,16.029024,16.052057,0.040092
efficient,compact,16777216,64,5,8.365184,8.364384,8.384627,0.034657
